 time[s]              longitude[deg]       latitude[deg]        azimuth[deg]
 6.4999980003301E+03  8.2752826766079E+01  1.5810685678079E+02  4.5000584059911E+01
 6.4999995003301E+03  8.2752845863139E+01  1.5810700816819E+02  4.5000584059911E+01
 6.5000010003301E+03  8.2752864960199E+01  1.5810715955598E+02  4.5000584059911E+01
 6.5000025003301E+03  8.2752884057259E+01  1.5810731094417E+02  4.5000584059911E+01
 6.5000040003301E+03  8.2752903154318E+01  1.5810746233276E+02  4.5000584059911E+01
 6.5000055003301E+03  8.2752922251378E+01  1.5810761372174E+02  4.5000584059911E+01
 6.5000070003301E+03  8.2752941348438E+01  1.5810776511112E+02  4.5000584059911E+01
 6.5000085003301E+03  8.2752960445497E+01  1.5810791650090E+02  4.5000584059911E+01
 6.5999910003505E+03  8.4025874795000E+01  1.6919967804572E+02  4.5000584059558E+01
 6.5999925003505E+03  8.4025893892054E+01  1.6919986153590E+02  4.5000584059558E+01
 6.5999940003505E+03  8.4025912989108E+01  1.6920004502667E+02  4.5000584059558E+01
 6.5999955003505E+03  8.4025932086162E+01  1.6920022851803E+02  4.5000584059558E+01
 6.5999970003505E+03  8.4025951183216E+01  1.6920041200996E+02  4.5000584059558E+01
 6.5999985003505E+03  8.4025970280271E+01  1.6920059550249E+02  4.5000584059558E+01
 6.6000000003505E+03  8.4025989377325E+01  1.6920077899559E+02  4.5000584059558E+01
 6.6000015003505E+03  8.4026008474379E+01  1.6920096248929E+02  4.5000584059558E+01
 6.6000030003505E+03  8.4026027571433E+01  1.6920114598356E+02  4.5000584059558E+01
 6.6000045003505E+03  8.4026046668488E+01  1.6920132947842E+02  4.5000584059558E+01
 6.6000060003505E+03  8.4026065765542E+01  1.6920151297387E+02  4.5000584059558E+01
 6.6000075003505E+03  8.4026084862596E+01  1.6920169646990E+02  4.5000584059558E+01
 6.6000090003505E+03  8.4026103959650E+01  1.6920187996651E+02  4.5000584059558E+01
 6.6999900003709E+03  8.5298998760326E+01 -1.7704857438527E+02  4.5000584059794E+01
 6.6999915003709E+03  8.5299017857372E+01 -1.7704834136305E+02  4.5000584059794E+01
 6.6999930003709E+03  8.5299036954418E+01 -1.7704810833988E+02  4.5000584059794E+01
 6.6999945003709E+03  8.5299056051465E+01 -1.7704787531578E+02  4.5000584059794E+01
 6.6999960003709E+03  8.5299075148511E+01 -1.7704764229072E+02  4.5000584059794E+01
 6.6999975003709E+03  8.5299094245557E+01 -1.7704740926472E+02  4.5000584059794E+01
 6.6999990003709E+03  8.5299113342603E+01 -1.7704717623778E+02  4.5000584059794E+01
 6.7000005003709E+03  8.5299132439649E+01 -1.7704694320989E+02  4.5000584059794E+01
 6.7000020003709E+03  8.5299151536695E+01 -1.7704671018106E+02  4.5000584059794E+01
 6.7000035003709E+03  8.5299170633741E+01 -1.7704647715128E+02  4.5000584059794E+01
 6.7000050003709E+03  8.5299189730787E+01 -1.7704624412056E+02  4.5000584059794E+01
 6.7000065003709E+03  8.5299208827833E+01 -1.7704601108890E+02  4.5000584059794E+01
 6.7000080003709E+03  8.5299227924880E+01 -1.7704577805629E+02  4.5000584059794E+01
 6.7000095003709E+03  8.5299247021926E+01 -1.7704554502273E+02  4.5000584059794E+01
 6.7999905003913E+03  8.6572141096520E+01 -1.5893677697091E+02  4.5000584059717E+01
 6.7999920003913E+03  8.6572160193551E+01 -1.5893645756927E+02  4.5000584059717E+01
 6.7999935003913E+03  8.6572179290583E+01 -1.5893613816584E+02  4.5000584059717E+01
 6.7999950003913E+03  8.6572198387614E+01 -1.5893581876064E+02  4.5000584059717E+01
 6.7999965003913E+03  8.6572217484646E+01 -1.5893549935366E+02  4.5000584059717E+01
 6.7999980003913E+03  8.6572236581677E+01 -1.5893517994491E+02  4.5000584059717E+01
 6.7999995003913E+03  8.6572255678709E+01 -1.5893486053438E+02  4.5000584059717E+01
