 Scott Sterling
            t(sec)              u(ft/sec)               v(ft/sec)               w(ft/sec)              p(rad/sec)            q(rad/sec)            r(rad/sec)               x(ft)                   y(ft)                   z(ft)                 e0                     ex                    ey                    ez
     3.300000000000E-01     1.153962469334E+02     0.000000000000E+00    -1.031837007042E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     3.812814275061E+01     0.000000000000E+00    -4.016260679057E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     3.400000000000E-01     1.153873864581E+02     0.000000000000E+00    -9.995850904752E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     3.928206092704E+01     0.000000000000E+00    -4.026417787568E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     3.500000000000E-01     1.153785147598E+02     0.000000000000E+00    -9.673355491526E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     4.043589044237E+01     0.000000000000E+00    -4.036252388784E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     3.600000000000E-01     1.153696321078E+02     0.000000000000E+00    -9.350883917356E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     4.158963118572E+01     0.000000000000E+00    -4.045764506498E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     3.700000000000E-01     1.153607387733E+02     0.000000000000E+00    -9.028436266732E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     4.274328304891E+01     0.000000000000E+00    -4.054954164593E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     3.800000000000E-01     1.153518350290E+02     0.000000000000E+00    -8.706012622007E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     4.389684592649E+01     0.000000000000E+00    -4.063821387033E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     3.900000000000E-01     1.153429211487E+02     0.000000000000E+00    -8.383613063368E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     4.505031971571E+01     0.000000000000E+00    -4.072366197866E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     4.000000000000E-01     1.153339974083E+02     0.000000000000E+00    -8.061237668827E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     4.620370431659E+01     0.000000000000E+00    -4.080588621215E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     4.100000000000E-01     1.153250640845E+02     0.000000000000E+00    -7.738886514191E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     4.735699963193E+01     0.000000000000E+00    -4.088488681283E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     4.200000000000E-01     1.153161214558E+02     0.000000000000E+00    -7.416559673053E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     4.851020556727E+01     0.000000000000E+00    -4.096066402348E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     4.300000000000E-01     1.153071698018E+02     0.000000000000E+00    -7.094257216768E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     4.966332203096E+01     0.000000000000E+00    -4.103321808758E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     4.400000000000E-01     1.152982094037E+02     0.000000000000E+00    -6.771979214437E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     5.081634893415E+01     0.000000000000E+00    -4.110254924933E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     4.500000000000E-01     1.152892405437E+02     0.000000000000E+00    -6.449725732889E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     5.196928619082E+01     0.000000000000E+00    -4.116865775360E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     4.600000000000E-01     1.152802635053E+02     0.000000000000E+00    -6.127496836666E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     5.312213371777E+01     0.000000000000E+00    -4.123154384594E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     4.700000000000E-01     1.152712785734E+02     0.000000000000E+00    -5.805292588005E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     5.427489143462E+01     0.000000000000E+00    -4.129120777249E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     4.800000000000E-01     1.152622860337E+02     0.000000000000E+00    -5.483113046824E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     5.542755926387E+01     0.000000000000E+00    -4.134764978005E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     4.900000000000E-01     1.152532861734E+02     0.000000000000E+00    -5.160958270704E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     5.658013713089E+01     0.000000000000E+00    -4.140087011598E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     5.000000000000E-01     1.152442792806E+02     0.000000000000E+00    -4.838828314879E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     5.773262496390E+01     0.000000000000E+00    -4.145086902820E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     5.100000000000E-01     1.152352656443E+02     0.000000000000E+00    -4.516723232216E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     5.888502269402E+01     0.000000000000E+00    -4.149764676519E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
